participant_ID,position,trial,phase,response,rt
P106,right,38,exhale,correct,0.736700299999939
P106,catch,39,inhale,correct,NA
P106,right,40,inhale,correct,0.439282999999705
P106,up,41,exhale,correct,0.451415499999712
P106,down,42,inhale,correct,0.67029040000125
P106,down,43,inhale,correct,0.538015900001483
P106,right,44,exhale,correct,0.635593099999824
P106,catch,45,exhale,correct,NA
P106,catch,46,inhale,correct,NA
P106,up,47,inhale,correct,0.443395500002225
P106,left,48,exhale,correct,0.702562800001033
P106,left,49,inhale,correct,0.652649999999994
P106,up,50,exhale,correct,0.640105099999346
P106,right,51,inhale,correct,0.504975199997716
P106,left,52,exhale,correct,0.99555280000277
P106,catch,53,inhale,correct,NA
P106,right,54,exhale,correct,0.701371300001483
P106,catch,55,inhale,correct,NA
P106,left,56,exhale,correct,0.469314000001759
P106,down,57,inhale,correct,0.742364599998837
P106,down,58,exhale,correct,0.563778899999306
P106,up,59,inhale,correct,0.7120963999987
P106,up,0,exhale,correct,0.502452400000038
P106,right,1,inhale,correct,0.457894600000145
P106,down,2,exhale,correct,0.437389899998379
P106,catch,3,inhale,correct,NA
P106,left,4,exhale,correct,0.857845599999564
P106,left,5,inhale,correct,0.541144099999656
P106,up,6,exhale,correct,0.44483290000062
P106,right,7,inhale,correct,0.55871660000048
P106,down,8,exhale,correct,0.452709299999697
P106,catch,9,inhale,correct,NA
P106,down,10,inhale,correct,0.533674099999189
P106,catch,11,exhale,correct,NA
P106,right,12,inhale,correct,0.432364099997358
P106,up,13,exhale,correct,0.592078000001493
P106,up,14,inhale,correct,0.527680799998052
P106,left,15,exhale,correct,0.375214699997741
P106,left,16,inhale,correct,0.397626699999819
P106,catch,17,exhale,correct,NA
P106,right,18,exhale,correct,0.573781700000836
P106,down,19,inhale,correct,0.577087399997254
P106,left,20,exhale,correct,0.531835899997532
P106,catch,21,inhale,correct,NA
P106,right,22,exhale,correct,0.576859100001457
P106,up,23,exhale,correct,0.630587800002104
P106,up,24,inhale,correct,0.583302800001547
P106,down,25,exhale,correct,0.613228599999275
P106,left,26,inhale,correct,0.429893500000617
P106,right,27,exhale,correct,0.712977800001681
P106,down,28,inhale,correct,0.532096800001455
P106,catch,29,exhale,correct,NA
P106,right,30,exhale,correct,0.442069199998514
P106,down,31,inhale,correct,0.568127599999571
P106,down,32,exhale,correct,0.549516300001414
P106,up,33,inhale,correct,0.480035599997791
P106,catch,34,exhale,correct,NA
P106,up,35,inhale,correct,0.402612699999736
P106,left,36,exhale,correct,0.456752099998994
P106,left,37,inhale,correct,0.494967200000247
P106,catch,38,exhale,correct,NA
P106,right,39,inhale,correct,0.550269499999558
P106,down,40,exhale,correct,0.822741799998767
P106,left,41,inhale,correct,0.571875300000102
P106,catch,42,exhale,correct,NA
P106,left,43,inhale,correct,0.748798699998588
P106,right,44,exhale,correct,0.766407499999332
P106,catch,45,inhale,correct,NA
P106,up,46,exhale,correct,0.76080279999951
P106,down,47,inhale,correct,0.648510300001362
P106,right,48,exhale,correct,0.436870899997302
